name_method,name_impact,unit
CML 2001,"acidification potential, average European",kg SO2-Eq
CML 2001,"acidification potential, generic",kg SO2-Eq
CML 2001,"climate change, GWP 100a",kg CO2-Eq
CML 2001,"climate change, GWP 20a",kg CO2-Eq
CML 2001,"climate change, GWP 500a",kg CO2-Eq
CML 2001,"climate change, lower limit of net GWP",kg CO2-Eq
CML 2001,"climate change, upper limit of net GWP",kg CO2-Eq
CML 2001,"eutrophication potential, average European",kg NOx-Eq
CML 2001,"eutrophication potential, generic",kg PO4-Eq
CML 2001,"freshwater aquatic ecotoxicity, FAETP 100a","kg 1,4-DCB-Eq"
CML 2001,"freshwater aquatic ecotoxicity, FAETP 20a","kg 1,4-DCB-Eq"
CML 2001,"freshwater aquatic ecotoxicity, FAETP 500a","kg 1,4-DCB-Eq"
CML 2001,"freshwater aquatic ecotoxicity, FAETP infinite","kg 1,4-DCB-Eq"
CML 2001,"freshwater sediment ecotoxicity, FSETP 100a","kg 1,4-DCB-Eq"
CML 2001,"freshwater sediment ecotoxicity, FSETP 20a","kg 1,4-DCB-Eq"
CML 2001," freshwater sediment ecotoxicity, FSETP 500a","kg 1,4-DCB-Eq"
CML 2001," freshwater sediment ecotoxicity, FSETP infinite","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP 100a","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP 20a","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP 500a","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP infinite","kg 1,4-DCB-Eq"
CML 2001," ionising radiation, ionising radiation",DALYs
CML 2001," land use, competition",square meter-year
CML 2001," malodours air, malodours air",m3 air
CML 2001," marine aquatic ecotoxicity, MAETP 100a","kg 1,4-DCB-Eq"
CML 2001," marine aquatic ecotoxicity, MAETP 20a","kg 1,4-DCB-Eq"
CML 2001," marine aquatic ecotoxicity, MAETP 500a","kg 1,4-DCB-Eq"
CML 2001," marine aquatic ecotoxicity, MAETP infinite","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP 100a","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP 20a","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP 500a","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP infinite","kg 1,4-DCB-Eq"
CML 2001," photochemical oxidation summer smog, EBIR",kg formed ozone
CML 2001," photochemical oxidation summer smog, high NOx POCP",kg ethylene-Eq
CML 2001," photochemical oxidation summer smog, low NOx POCP",kg ethylene-Eq
CML 2001," photochemical oxidation summer smog, MIR",kg formed ozone
CML 2001," photochemical oxidation summer smog, MOIR",kg formed ozone
CML 2001," resources, depletion of abiotic resources",kg antimony-Eq
CML 2001," stratospheric ozone depletion, ODP 10a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 15a",kg CFC-11-Eq
